district_id,raw_state_name,raw_district_name,canonical_state_name,canonical_district_name,valid_from,valid_to,latitude,longitude,point_method,match_method,match_status,geometry_source,coordinate_source,crop_rows,unique_years,unique_crops,unique_seasons,notes
IND_ARUNACHAL_PRADESH_UPPER_SIANG,Arunachal Pradesh,UPPER SIANG,,,1997,2014,,,,,pending,,,287,18,16,3,
IND_ARUNACHAL_PRADESH_UPPER_SUBANSIRI,Arunachal Pradesh,UPPER SUBANSIRI,,,1997,2014,,,,,pending,,,333,18,17,3,
IND_ARUNACHAL_PRADESH_WEST_KAMENG,Arunachal Pradesh,WEST KAMENG,,,1997,2014,,,,,pending,,,301,18,14,3,
IND_ARUNACHAL_PRADESH_WEST_SIANG,Arunachal Pradesh,WEST SIANG,,,1997,2014,,,,,pending,,,367,18,17,3,
IND_ASSAM_BAKSA,Assam,BAKSA,,,2005,2014,,,,,pending,,,678,10,39,6,
IND_ASSAM_BARPETA,Assam,BARPETA,,,1997,2014,,,,,pending,,,1153,18,40,6,
IND_ASSAM_BONGAIGAON,Assam,BONGAIGAON,,,1997,2014,,,,,pending,,,1141,18,40,6,
IND_ASSAM_CACHAR,Assam,CACHAR,,,1997,2014,,,,,pending,,,1118,18,39,6,
IND_ASSAM_CHIRANG,Assam,CHIRANG,,,2005,2014,,,,,pending,,,674,10,39,6,
IND_ASSAM_DARRANG,Assam,DARRANG,,,1997,2014,,,,,pending,,,1127,18,40,6,
IND_ASSAM_DHEMAJI,Assam,DHEMAJI,,,1997,2014,,,,,pending,,,1149,18,40,6,
IND_ASSAM_DHUBRI,Assam,DHUBRI,,,1997,2014,,,,,pending,,,1115,18,40,6,
IND_ASSAM_DIBRUGARH,Assam,DIBRUGARH,,,1997,2014,,,,,pending,,,1047,18,40,6,
IND_ASSAM_DIMA_HASAO,Assam,DIMA HASAO,,,1997,2014,,,,,pending,,,1119,18,40,6,
IND_ASSAM_GOALPARA,Assam,GOALPARA,,,1997,2014,,,,,pending,,,1148,18,40,6,
IND_ASSAM_GOLAGHAT,Assam,GOLAGHAT,,,1997,2014,,,,,pending,,,1129,18,40,6,
IND_ASSAM_HAILAKANDI,Assam,HAILAKANDI,,,1997,2014,,,,,pending,,,1036,18,40,6,
IND_ASSAM_JORHAT,Assam,JORHAT,,,1997,2014,,,,,pending,,,1071,18,40,6,
IND_ASSAM_KAMRUP,Assam,KAMRUP,,,1997,2014,,,,,pending,,,1151,18,40,6,
IND_ASSAM_KAMRUP_METRO,Assam,KAMRUP METRO,,,2005,2014,,,,,pending,,,670,10,39,6,
IND_ASSAM_KARBI_ANGLONG,Assam,KARBI ANGLONG,,,1997,2014,,,,,pending,,,1146,18,39,6,
IND_ASSAM_KARIMGANJ,Assam,KARIMGANJ,,,1997,2014,,,,,pending,,,999,18,40,6,
IND_ASSAM_KOKRAJHAR,Assam,KOKRAJHAR,,,1997,2014,,,,,pending,,,1151,18,40,6,
IND_ASSAM_LAKHIMPUR,Assam,LAKHIMPUR,,,1997,2014,,,,,pending,,,1149,18,40,6,
IND_ASSAM_MARIGAON,Assam,MARIGAON,,,1997,2014,,,,,pending,,,1153,18,40,6,
IND_ASSAM_NAGAON,Assam,NAGAON,,,1997,2014,,,,,pending,,,1151,18,40,6,
IND_ASSAM_NALBARI,Assam,NALBARI,,,1997,2014,,,,,pending,,,1151,18,40,6,
IND_ASSAM_SIVASAGAR,Assam,SIVASAGAR,,,1997,2014,,,,,pending,,,1097,18,40,6,
IND_ASSAM_SONITPUR,Assam,SONITPUR,,,1997,2014,,,,,pending,,,1149,18,40,6,
IND_ASSAM_TINSUKIA,Assam,TINSUKIA,,,1997,2014,,,,,pending,,,1107,18,40,6,
IND_ASSAM_UDALGURI,Assam,UDALGURI,,,2005,2014,,,,,pending,,,660,10,39,6,
IND_BIHAR_ARARIA,Bihar,ARARIA,,,1997,2014,,,,,pending,,,1132,18,41,6,
IND_BIHAR_ARWAL,Bihar,ARWAL,,,2003,2014,,,,,pending,,,594,11,37,6,
IND_BIHAR_AURANGABAD,Bihar,AURANGABAD,,,1997,2014,,,,,pending,,,892,18,39,6,
IND_BIHAR_BANKA,Bihar,BANKA,,,1997,2014,,,,,pending,,,874,18,38,6,
IND_BIHAR_BEGUSARAI,Bihar,BEGUSARAI,,,1997,2014,,,,,pending,,,1180,18,41,6,
IND_BIHAR_BHAGALPUR,Bihar,BHAGALPUR,,,1997,2014,,,,,pending,,,1222,18,41,6,
IND_BIHAR_BHOJPUR,Bihar,BHOJPUR,,,1997,2014,,,,,pending,,,992,18,33,6,
IND_BIHAR_BOKARO,Bihar,BOKARO,,,1997,1999,,,,,pending,,,45,3,21,6,
IND_BIHAR_BUXAR,Bihar,BUXAR,,,1997,2014,,,,,pending,,,826,18,32,6,
IND_BIHAR_CHATRA,Bihar,CHATRA,,,1997,1999,,,,,pending,,,52,3,23,6,
IND_BIHAR_DARBHANGA,Bihar,DARBHANGA,,,1997,2014,,,,,pending,,,998,18,39,6,
IND_BIHAR_DEOGHAR,Bihar,DEOGHAR,,,1997,1999,,,,,pending,,,44,3,19,6,
IND_BIHAR_DHANBAD,Bihar,DHANBAD,,,1997,1999,,,,,pending,,,33,3,15,6,
IND_BIHAR_DUMKA,Bihar,DUMKA,,,1997,1999,,,,,pending,,,59,3,24,6,
IND_BIHAR_EAST_SINGHBUM,Bihar,EAST SINGHBUM,,,1997,1999,,,,,pending,,,38,3,19,6,
IND_BIHAR_GARHWA,Bihar,GARHWA,,,1997,1999,,,,,pending,,,67,3,29,6,
IND_BIHAR_GAYA,Bihar,GAYA,,,1997,2014,,,,,pending,,,1150,18,41,6,
IND_BIHAR_GIRIDIH,Bihar,GIRIDIH,,,1997,1999,,,,,pending,,,52,3,22,6,
