model,family,hidden_layers,activation,best_epoch,train_seconds,validation_mae,validation_rmse,validation_r2,test_mae,test_rmse,test_r2
"MLP deep [256, 128, 64] ReLU",pytorch_mlp,"[256, 128, 64]",relu,30.0,116.09049410000443,1.6599338024273484,4.937516834792869,0.8463874747835458,1.9246703127338247,5.16944656364673,0.8463018507250967
"MLP medium [128, 64] ReLU",pytorch_mlp,"[128, 64]",relu,49.0,147.9554180999985,1.6820366970598684,5.037249405427811,0.840119183210373,1.8711788194160004,5.301298099726087,0.8383614339148237
MLP small [64] ReLU,pytorch_mlp,[64],relu,33.0,100.32711760001257,2.427821005970245,5.873368344125116,0.7826378475508042,2.858180876869213,6.3706760808524985,0.7665727332319916
"MLP medium [128, 64] Tanh",pytorch_mlp,"[128, 64]",tanh,11.0,63.38276780000888,2.6963438373693434,6.430189673998361,0.7394704333485649,2.9822794586152166,6.6493627027068385,0.745703382573347
Ridge alpha=1,baseline,,,,0.6765694000059739,3.300736996921591,7.220206256991354,0.6715202073394928,3.4728889791126796,7.359550915775336,0.6884819858034514
Dummy mean,baseline,,,,0.0004528999561443925,5.620236087185877,12.60000255832537,-0.0003470974079544664,5.903224041016061,13.203823583766908,-0.002720660524408336
