model,epoch,train_mse_scaled,validation_mse_scaled
"MLP deep [256, 128, 64] ReLU",2,0.7722847465515137,0.14765091240406036
"MLP deep [256, 128, 64] ReLU",3,0.5996194693756104,0.11967352032661438
"MLP deep [256, 128, 64] ReLU",4,0.5451442826032639,0.1381635069847107
"MLP deep [256, 128, 64] ReLU",5,0.4662091710662842,0.1262919008731842
"MLP deep [256, 128, 64] ReLU",6,0.4197098577427864,0.1348082572221756
"MLP deep [256, 128, 64] ReLU",7,0.30802526034832,0.11367896944284439
"MLP deep [256, 128, 64] ReLU",8,0.21604747274398803,0.11434338241815567
"MLP deep [256, 128, 64] ReLU",9,0.15134852291822434,0.09175954759120941
"MLP deep [256, 128, 64] ReLU",10,0.1478339928984642,0.1066870242357254
"MLP deep [256, 128, 64] ReLU",11,0.12181097425460816,0.08119621872901917
"MLP deep [256, 128, 64] ReLU",12,0.08734301319122315,0.0785292461514473
"MLP deep [256, 128, 64] ReLU",13,0.07876234914064408,0.08303800970315933
"MLP deep [256, 128, 64] ReLU",14,0.07813872662305832,0.0742403045296669
"MLP deep [256, 128, 64] ReLU",15,0.05782542218446732,0.07213769108057022
"MLP deep [256, 128, 64] ReLU",16,0.058662818274497985,0.07143818587064743
"MLP deep [256, 128, 64] ReLU",17,0.0491628511184454,0.07214127480983734
"MLP deep [256, 128, 64] ReLU",18,0.04787203371405602,0.07142090797424316
"MLP deep [256, 128, 64] ReLU",19,0.043879548441171645,0.0672517791390419
"MLP deep [256, 128, 64] ReLU",20,0.04593216690182686,0.07978343218564987
"MLP deep [256, 128, 64] ReLU",21,0.04432548463702202,0.06875590234994888
"MLP deep [256, 128, 64] ReLU",22,0.04681710597634316,0.06851765513420105
"MLP deep [256, 128, 64] ReLU",23,0.052309755271673204,0.0670645609498024
"MLP deep [256, 128, 64] ReLU",24,0.04559504005551338,0.06935689598321915
"MLP deep [256, 128, 64] ReLU",25,0.044414018594026564,0.07128823548555374
"MLP deep [256, 128, 64] ReLU",26,0.04312878641963005,0.069332554936409
"MLP deep [256, 128, 64] ReLU",27,0.039712711592316624,0.06877052783966064
"MLP deep [256, 128, 64] ReLU",28,0.03386483620524407,0.06759373843669891
"MLP deep [256, 128, 64] ReLU",29,0.031393620371222494,0.06726012378931046
"MLP deep [256, 128, 64] ReLU",30,0.026805148424506188,0.06650266796350479
"MLP deep [256, 128, 64] ReLU",31,0.024982777363061905,0.06780693680047989
"MLP deep [256, 128, 64] ReLU",32,0.025190116886794567,0.07115504890680313
"MLP deep [256, 128, 64] ReLU",33,0.02370638740301132,0.07098818570375443
"MLP deep [256, 128, 64] ReLU",34,0.023713659162521362,0.06959459185600281
"MLP deep [256, 128, 64] ReLU",35,0.023128134254813193,0.06849051266908646
"MLP deep [256, 128, 64] ReLU",36,0.028519712336063385,0.06837951391935349
"MLP deep [256, 128, 64] ReLU",37,0.027465549748539923,0.07009904831647873
"MLP deep [256, 128, 64] ReLU",38,0.024858914895057677,0.06692543625831604
"MLP deep [256, 128, 64] ReLU",39,0.040533224424123764,0.07241269946098328
"MLP deep [256, 128, 64] ReLU",40,0.08835165699958801,0.0777546837925911
"MLP deep [256, 128, 64] ReLU",41,0.042971203075051305,0.07197682559490204
"MLP deep [256, 128, 64] ReLU",42,0.02550354321360588,0.06830941885709763
"MLP deep [256, 128, 64] ReLU",43,0.021225131638646127,0.0695975124835968
"MLP deep [256, 128, 64] ReLU",44,0.01921405312538147,0.07188312709331512
"MLP deep [256, 128, 64] ReLU",45,0.01953771557033062,0.06954064965248108
"MLP medium [128, 64] Tanh",1,0.9561443492794037,0.30093124508857727
"MLP medium [128, 64] Tanh",2,0.8379714063453675,0.19638080894947052
"MLP medium [128, 64] Tanh",3,0.7263949779891968,0.16011007130146027
"MLP medium [128, 64] Tanh",4,0.7062010987091064,0.1448320597410202
"MLP medium [128, 64] Tanh",5,0.6993791086792945,0.1417526751756668
"MLP medium [128, 64] Tanh",6,0.695274849512577,0.13671523332595825
"MLP medium [128, 64] Tanh",7,0.6935088485336304,0.1411534547805786
"MLP medium [128, 64] Tanh",8,0.689356450996399,0.13318577408790588
"MLP medium [128, 64] Tanh",9,0.6809579797387123,0.12185783684253693
"MLP medium [128, 64] Tanh",10,0.6657074868392945,0.11547119170427322
"MLP medium [128, 64] Tanh",11,0.648237466135025,0.11191306263208389
"MLP medium [128, 64] Tanh",12,0.6347802551221847,0.12237648665904999
"MLP medium [128, 64] Tanh",13,0.6230787054061889,0.11618258059024811
"MLP medium [128, 64] Tanh",14,0.6134231892585754,0.11565538495779037
"MLP medium [128, 64] Tanh",15,0.6054903351140022,0.11761864274740219
"MLP medium [128, 64] Tanh",16,0.5972922157096863,0.11276262253522873
"MLP medium [128, 64] Tanh",17,0.5888450101852417,0.11506027728319168
"MLP medium [128, 64] Tanh",18,0.5807418856048584,0.11346477270126343
"MLP medium [128, 64] Tanh",19,0.571973380279541,0.11399868130683899
"MLP medium [128, 64] Tanh",20,0.5627400541377068,0.11431601643562317
"MLP medium [128, 64] Tanh",21,0.551760557706356,0.11243916302919388
"MLP medium [128, 64] Tanh",22,0.543586285547018,0.11648115515708923
"MLP medium [128, 64] Tanh",23,0.5338430997228623,0.11369291692972183
"MLP medium [128, 64] Tanh",24,0.5251184066319465,0.11843985319137573
"MLP medium [128, 64] Tanh",25,0.5143997899246215,0.11412033438682556
"MLP medium [128, 64] Tanh",26,0.509261657898426,0.11885298043489456
