model_run_id,experiment_family,model_name,model_family,feature_set,target_strategy,hyperparameters_json,preprocessing_family,training_scope,mean_mae,std_mae,mean_rmse,std_rmse,mean_r2,std_r2,worst_fold_mae,worst_fold_rmse,total_fit_seconds,successful_folds,failed_folds,simplicity_rank,test_data_accessed
cv_log_target_rf_200_depth_20_leaf_10_maxfeat_sqrt_core_with_lag,log_target,RandomForest,tree,core_with_lag,log_target,"{""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 200, ""n_jobs"": -1}",tree,full_train,1.5780118456298127,0.06655911422125355,5.9308125571316195,0.10558088246910832,0.7720083504542936,0.0028750146715652214,1.672111594656472,6.057507326972259,37.70194659999106,3,0,6,False
cv_log_target_rf_250_depth_none_leaf_20_maxfeat_sqrt_core_with_lag,log_target,RandomForest,tree,core_with_lag,log_target,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""n_estimators"": 250, ""n_jobs"": -1}",tree,full_train,1.677222995876286,0.06810078821722064,6.285268764404869,0.0900469111109133,0.7438448643877043,0.006763993837384074,1.7735109700904348,6.356730453954166,56.81764349999139,3,0,6,False
cv_log_target_linearsvr_c_0_3_epsilon_0_1_core_with_lag,log_target,LinearSVR,linear,core_with_lag,log_target,"{""C"": 0.3, ""epsilon"": 0.1, ""max_iter"": 20000}",linear,full_train,1.765174642734781,0.15048751263759758,16.751150733479236,15.435430663261418,-2.1994234595473205,4.195768024492168,1.9709680526133424,38.56008969566616,164.45799730002182,3,0,4,False
cv_log_target_linearsvr_c_0_1_epsilon_0_1_core_with_lag,log_target,LinearSVR,linear,core_with_lag,log_target,"{""C"": 0.1, ""epsilon"": 0.1, ""max_iter"": 20000}",linear,full_train,1.780532017564984,0.1624789694085537,17.841235988031247,16.82317512974207,-2.7065265326940353,4.899729662313806,2.002646525771951,41.61159992153137,63.29331940005068,3,0,4,False
cv_log_target_linearsvr_c_0_3_epsilon_0_0_core_with_lag,log_target,LinearSVR,linear,core_with_lag,log_target,"{""C"": 0.3, ""epsilon"": 0.0, ""max_iter"": 20000}",linear,full_train,1.7895619617775278,0.17610973717121595,18.691765435879425,18.12613664171397,-3.1766875032177033,5.573908627111914,2.0335011023385188,44.30938492025093,126.38442969997413,3,0,4,False
cv_log_target_ridge_alpha_1_0_core_with_lag,log_target,Ridge,linear,core_with_lag,log_target,"{""alpha"": 1.0, ""solver"": ""auto""}",linear,full_train,1.792375491439041,0.03628008380385298,5.723430013803923,0.22450833389963118,0.7877707867888876,0.008641822687398958,1.8285614573082047,6.040932330906675,14.328277400054503,3,0,3,False
cv_log_target_ridge_alpha_10_0_core_with_lag,log_target,Ridge,linear,core_with_lag,log_target,"{""alpha"": 10.0, ""solver"": ""auto""}",linear,full_train,1.7981133385397545,0.036236432604107284,5.763282796907852,0.21242553785963358,0.7848091281466969,0.007645084085689449,1.83574198442265,6.063490541116198,11.374110299977474,3,0,3,False
cv_log_target_linearsvr_c_0_1_epsilon_0_0_core_with_lag,log_target,LinearSVR,linear,core_with_lag,log_target,"{""C"": 0.1, ""epsilon"": 0.0, ""max_iter"": 20000}",linear,full_train,1.8076212348192129,0.18834520990556203,19.73931663478267,19.435767179990176,-3.7266884385538135,6.337074437690296,2.0681571162819528,47.20784648500133,54.154864999931306,3,0,4,False
