split,rows,mean,std,min,p50,p90,p95,p99,max
train_1997_2010,202164,4.505971494045549,19.356300311708264,0.0,0.9968429224895291,8.829255081495877,19.79065077205585,68.0,2247.533300444006
validation_2011_2012,32388,4.711542365410004,12.598010900580235,0.0,1.137926191398683,9.533607305936073,22.081162654798025,70.41300000000011,311.0
final_train_1997_2012,234552,4.534357648850248,18.570146487779166,0.0,1.0,8.981842010771981,20.0,68.4,2247.533300444006
test_2013_2014,32596,5.1646139408129095,13.1861008577338,0.0,1.1833291173723537,11.304704824265034,23.39093023255814,73.73333333333333,362.0
