census_version,source_layer,source_feature_index,raw_state_name,raw_district_name,raw_state_code,raw_district_code,normalized_state_name,normalized_district_name,state_compare_key,district_compare_key,geometry_type,geometry_valid,geometry_area_native
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,573,Madhya Pradesh,Dindori,23,41,MADHYA PRADESH,DINDORI,MADHYAPRADESH,DINDORI,Polygon,True,0.5019238611436967
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,574,Madhya Pradesh,Mandla,23,42,MADHYA PRADESH,MANDLA,MADHYAPRADESH,MANDLA,Polygon,True,0.6629174344650816
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,575,Madhya Pradesh,Shahdol,23,16,MADHYA PRADESH,SHAHDOL,MADHYAPRADESH,SHAHDOL,Polygon,True,0.8363332569755922
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,576,Madhya Pradesh,Umaria,23,15,MADHYA PRADESH,UMARIA,MADHYAPRADESH,UMARIA,Polygon,True,0.40579297857520474
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,577,Chhattisgarh,Kawardha,22,08,CHHATTISGARH,KAWARDHA,CHHATTISGARH,KAWARDHA,Polygon,True,0.3692956082727059
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,578,Rajasthan,Ganganagar,08,01,RAJASTHAN,GANGANAGAR,RAJASTHAN,GANGANAGAR,Polygon,True,0.9930625799411347
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,579,Rajasthan,Hanumangarh,08,02,RAJASTHAN,HANUMANGARH,RAJASTHAN,HANUMANGARH,Polygon,True,0.9219137544813035
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,580,Tamil Nadu,Chennai,33,02,TAMIL NADU,CHENNAI,TAMILNADU,CHENNAI,Polygon,True,0.010709424551990532
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,581,Tamil Nadu,Kancheepuram,33,03,TAMIL NADU,KANCHEEPURAM,TAMILNADU,KANCHEEPURAM,Polygon,True,0.38484630653080876
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,582,Tamil Nadu,Thiruvallur,33,01,TAMIL NADU,THIRUVALLUR,TAMILNADU,THIRUVALLUR,MultiPolygon,True,0.2716895129027431
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,583,Tamil Nadu,Thanjavur,33,21,TAMIL NADU,THANJAVUR,TAMILNADU,THANJAVUR,Polygon,True,0.2804428259222975
