model_run_id,experiment_family,model_name,model_family,feature_set,target_strategy,hyperparameters_json,preprocessing_family,training_scope,mean_mae,std_mae,mean_rmse,std_rmse,mean_r2,std_r2,worst_fold_mae,worst_fold_rmse,total_fit_seconds,successful_folds,failed_folds,simplicity_rank,test_data_accessed
cv_direct_rf_200_depth_none_leaf_20_maxfeat_0_5_core_with_lag,direct,RandomForest,tree,core_with_lag,direct,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 20, ""n_estimators"": 200, ""n_jobs"": -1}",tree,full_train,1.259570264364367,0.03895473105183159,4.343599468321984,0.3148750080119295,0.877630210215412,0.013119713052461962,1.29568393324813,4.78889994148628,161.6532221000234,3,0,6,False
cv_direct_linearsvr_c_0_03_epsilon_0_0_core_with_lag,direct,LinearSVR,linear,core_with_lag,direct,"{""C"": 0.03, ""epsilon"": 0.0, ""max_iter"": 20000}",linear,full_train,1.287105254173979,0.040883906467547554,4.933808013272416,0.07025352682652049,0.8421893632777966,0.0027481105053969905,1.3376254720909244,5.03192354860362,17.200544299994363,3,0,4,False
cv_direct_linearsvr_c_0_03_epsilon_0_1_core_with_lag,direct,LinearSVR,linear,core_with_lag,direct,"{""C"": 0.03, ""epsilon"": 0.1, ""max_iter"": 20000}",linear,full_train,1.2892554351095578,0.04012733795337958,4.931541443449347,0.06955777102174714,0.8423336981213575,0.0027471203762434826,1.3387812654841833,5.028752906128546,13.375911900016945,3,0,4,False
cv_direct_linearsvr_c_0_1_epsilon_0_0_core_with_lag,direct,LinearSVR,linear,core_with_lag,direct,"{""C"": 0.1, ""epsilon"": 0.0, ""max_iter"": 20000}",linear,full_train,1.3160312846655,0.044004322707390894,4.866456396432721,0.09355200103388588,0.8464929819628368,0.0027172620358858414,1.3710288903574772,4.9957810817176975,28.87498510000296,3,0,4,False
cv_direct_linearsvr_c_0_1_epsilon_0_1_core_with_lag,direct,LinearSVR,linear,core_with_lag,direct,"{""C"": 0.1, ""epsilon"": 0.1, ""max_iter"": 20000}",linear,full_train,1.3178148330421626,0.04267081659994819,4.8632970426128175,0.09316662544795012,0.8466928752705393,0.002654444996548068,1.3713883227547583,4.992348004645181,29.079908000014257,3,0,4,False
cv_direct_linearsvr_c_0_3_epsilon_0_0_core_with_lag,direct,LinearSVR,linear,core_with_lag,direct,"{""C"": 0.3, ""epsilon"": 0.0, ""max_iter"": 20000}",linear,full_train,1.3360740460703227,0.049038431778121394,4.856195263888254,0.09347962311761085,0.8471463822410014,0.0022992503695324095,1.399438609193347,4.987032809362912,69.055745700025,3,0,4,False
cv_direct_linearsvr_c_0_3_epsilon_0_1_core_with_lag,direct,LinearSVR,linear,core_with_lag,direct,"{""C"": 0.3, ""epsilon"": 0.1, ""max_iter"": 20000}",linear,full_train,1.3378696986668395,0.04921862308973954,4.854390583113926,0.09272976671796661,0.8472600195962761,0.0022366586583945883,1.401612949634881,4.984352323044756,69.03393589999177,3,0,4,False
cv_direct_linearsvr_c_1_0_epsilon_0_0_core_with_lag,direct,LinearSVR,linear,core_with_lag,direct,"{""C"": 1.0, ""epsilon"": 0.0, ""max_iter"": 20000}",linear,full_train,1.344482889267019,0.05295813611657737,4.856565239017535,0.09143177001977972,0.8471243905865484,0.002035362522773443,1.4137893248637106,4.985220037375528,176.3222606999916,3,0,4,False
cv_direct_linearsvr_c_1_0_epsilon_0_1_core_with_lag,direct,LinearSVR,linear,core_with_lag,direct,"{""C"": 1.0, ""epsilon"": 0.1, ""max_iter"": 20000}",linear,full_train,1.3465729097426689,0.05290512696162303,4.854033086371719,0.09073152640289345,0.8472831974416906,0.0020188458653886956,1.4156240653926877,4.981733560323054,177.1288831999991,3,0,4,False
cv_direct_tree_depth_none_leaf_50_core_with_lag,direct,DecisionTree,tree,core_with_lag,direct,"{""max_depth"": null, ""min_samples_leaf"": 50}",tree,full_train,1.4175763991111232,0.08771363025619608,5.38215648259331,0.6782677623701989,0.8092978093164321,0.04864353022529723,1.5386289996022744,6.250324108144545,17.473101400013547,3,0,5,False
