data_split,row_count,lag_available_count,lag_missing_count,lag_availability_rate,minimum_lag_source_year,maximum_lag_source_year
train,202164,156366,45798,0.7734611503531786,1997,2009
validation,32388,28001,4387,0.8645485982462641,2010,2011
test,32596,28817,3779,0.8840655295128237,2012,2013
