model_run_id,phase,application_track,experiment_family,model_name,model_family,feature_set,target_strategy,fold_id,fit_start_year,fit_end_year,evaluation_start_year,evaluation_end_year,hyperparameters_json,preprocessing_family,training_scope,fit_rows,evaluation_rows,fit_seconds,predict_seconds,mae,rmse,r2,median_ae,lag_subset_rows,lag_subset_mae,lag_subset_rmse,baseline_fold_mae,mae_improvement_over_lag_baseline,time_cv_mean_mae,time_cv_std_mae,time_cv_worst_fold_mae,status,warning_count,warning_summary,error_type,error_message,random_state,test_data_accessed
cv_direct_ridge_alpha_1_0_core_without_lag,cv-direct,,direct,Ridge,linear,core_without_lag,direct,fold_1,1997,2004,2005,2006,"{""alpha"": 1.0, ""solver"": ""auto""}",linear,full_train,112384,29022,3.8031621999980416,0.1110266000032424,3.6283237138648654,6.574024297089642,0.7154425954295884,2.239846973416504,24402,3.4712636941357995,6.455275791434399,1.0469628406265556,-2.5813608732383098,,,,completed,0,,,,42,False
cv_direct_ridge_alpha_1_0_core_without_lag,cv-direct,,direct,Ridge,linear,core_without_lag,direct,fold_2,1997,2006,2007,2008,"{""alpha"": 1.0, ""solver"": ""auto""}",linear,full_train,141406,30096,4.688742199999979,0.1175255000125616,3.409770788082332,6.704099584429239,0.6971449313993978,1.9942811660347863,25723,3.333062012138874,6.751245721479734,1.0556765933106236,-2.354094194771708,,,,completed,0,,,,42,False
cv_direct_ridge_alpha_1_0_core_without_lag,cv-direct,,direct,Ridge,linear,core_without_lag,direct,fold_3,1997,2008,2009,2010,"{""alpha"": 1.0, ""solver"": ""auto""}",linear,full_train,171502,30662,5.196441099978983,0.1043712999962735,3.4575243129587934,7.050092940387835,0.6947115408029764,2.1211368508553354,25900,3.427907424852584,7.182987491289465,1.1219907041916857,-2.335533608767108,,,,completed,0,,,,42,False
cv_direct_ridge_alpha_10_0_core_without_lag,cv-direct,,direct,Ridge,linear,core_without_lag,direct,fold_1,1997,2004,2005,2006,"{""alpha"": 10.0, ""solver"": ""auto""}",linear,full_train,112384,29022,2.4378621999931056,0.1044390999886673,3.59155655882189,6.547627366299032,0.7177231959523293,2.2103438593250164,24402,3.435237067562182,6.431657974006633,1.0469628406265556,-2.544593718195334,,,,completed,0,,,,42,False
cv_direct_ridge_alpha_10_0_core_without_lag,cv-direct,,direct,Ridge,linear,core_without_lag,direct,fold_2,1997,2006,2007,2008,"{""alpha"": 10.0, ""solver"": ""auto""}",linear,full_train,141406,30096,3.398807799996576,0.1220044000074267,3.363867149083516,6.683321956908988,0.699019264728828,1.944821554678068,25723,3.295243150735184,6.736565000161172,1.0556765933106236,-2.3081905557728915,,,,completed,0,,,,42,False
cv_direct_ridge_alpha_10_0_core_without_lag,cv-direct,,direct,Ridge,linear,core_without_lag,direct,fold_3,1997,2008,2009,2010,"{""alpha"": 10.0, ""solver"": ""auto""}",linear,full_train,171502,30662,4.343899100000272,0.1141884000098798,3.428863401804947,7.041165421385092,0.695484223635978,2.091647221441473,25900,3.40198293977765,7.177296997172028,1.1219907041916857,-2.3068726976132616,,,,completed,0,,,,42,False
cv_direct_ridge_alpha_100_0_core_without_lag,cv-direct,,direct,Ridge,linear,core_without_lag,direct,fold_1,1997,2004,2005,2006,"{""alpha"": 100.0, ""solver"": ""auto""}",linear,full_train,112384,29022,2.0743865000258666,0.1174865000066347,3.474027754099076,6.5007542984724775,0.7217502486379483,2.098736472671757,24402,3.307638946890729,6.380794262756319,1.0469628406265556,-2.4270649134725204,,,,completed,0,,,,42,False
cv_direct_ridge_alpha_100_0_core_without_lag,cv-direct,,direct,Ridge,linear,core_without_lag,direct,fold_2,1997,2006,2007,2008,"{""alpha"": 100.0, ""solver"": ""auto""}",linear,full_train,141406,30096,2.4923892999941017,0.1156367000075988,3.2190204103896805,6.6431197807435804,0.7026293519943292,1.7647191586034554,25723,3.172192250958613,6.719741160838746,1.0556765933106236,-2.163343817079057,,,,completed,0,,,,42,False
cv_direct_ridge_alpha_100_0_core_without_lag,cv-direct,,direct,Ridge,linear,core_without_lag,direct,fold_3,1997,2008,2009,2010,"{""alpha"": 100.0, ""solver"": ""auto""}",linear,full_train,171502,30662,3.3060327999992296,0.1193771000253036,3.295262985173681,7.011375951194639,0.6980554384069813,1.9094657938714723,25900,3.297378429414051,7.170650076510759,1.1219907041916857,-2.173272280981996,,,,completed,0,,,,42,False
cv_direct_linearsvr_c_0_03_epsilon_0_0_core_without_lag,cv-direct,,direct,LinearSVR,linear,core_without_lag,direct,fold_1,1997,2004,2005,2006,"{""C"": 0.03, ""epsilon"": 0.0, ""max_iter"": 20000}",linear,full_train,112384,29022,2.835662900004536,0.1173364999995101,2.186739265624601,7.242222496325377,0.6546567215818768,0.350039590114739,24402,2.149390158214983,7.325750617171944,1.0469628406265556,-1.1397764249980455,,,,completed,0,,,,42,False
