canonical_state_name,Crop_Year,Season_canonical,Crop_canonical,area_ratio_pattern,production_ratio_pattern,row_count,corrected_production_matches,legacy_area_min,legacy_area_max,expanded_area_min,expanded_area_max,legacy_target_min,legacy_target_max,expanded_target_min,expanded_target_max,selected_sources,source_overlap_statuses
Maharashtra,2007,Summer,Sunflower,other,100,4,0,2.0,5.0,100.0,400.0,0.5,0.8,0.5,1.0,legacy_source,conflict_unresolved_legacy_retained
Punjab,2011,Kharif,Urad,0.1,0.1,4,0,2000.0,18000.0,200.0,1800.0,0.2777777777777778,0.6666666666666666,0.2777777777777778,0.6666666666666666,legacy_source,conflict_unresolved_legacy_retained
Punjab,2011,Rabi,Masoor,0.1,0.1,4,0,1000.0,3000.0,100.0,300.0,0.6,0.8333333333333334,0.6,0.8333333333333334,legacy_source,conflict_unresolved_legacy_retained
Punjab,2014,Rabi,Masoor,0.1,0.1,4,0,1000.0,4000.0,100.0,400.0,0.5,0.6,0.5,0.6,legacy_source,conflict_unresolved_legacy_retained
West Bengal,1997,Whole Year,Coconut,1,1000,4,0,120.0,3485.0,120.0,3485.0,4.783333333333333,12.0,4783.333333333333,12000.0,legacy_source,unresolved_production_unit_conflict
West Bengal,2005,Whole Year,Coconut,1,other,4,0,165.0,3258.0,165.0,3258.0,10.870588235294118,18.07182320441989,10874.117647058823,18072.007366482503,legacy_source,conflict_unresolved_legacy_retained
West Bengal,2008,Whole Year,Coconut,1,1000,4,0,382.0,3925.0,382.0,3925.0,8.363874345549739,13.593625498007968,8363.874345549739,13593.625498007968,legacy_source,unresolved_production_unit_conflict
Andhra Pradesh,2012,Rabi,Bajra,other,other,3,0,648.0,1147.0,1000.0,1000.0,1.3039348710990502,2.061728395061728,1.0,2.0,legacy_source,conflict_unresolved_legacy_retained
Andhra Pradesh,2012,Rabi,Onion,other,other,3,0,834.0,1629.0,1000.0,2000.0,5.84652278177458,22.16042780748663,5.0,21.0,legacy_source,conflict_unresolved_legacy_retained
Andhra Pradesh,2013,Kharif,Turmeric,other,other,3,0,762.0,4044.0,728.0,4036.0,6.65748031496063,18.24110671936759,6.657967032967033,18.24124293785311,legacy_source,conflict_unresolved_legacy_retained
